map,rank_tier,rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,acs,first_blood_pct,num_matches
Split,13,Gold 2,Sage,1.07,15.1,14.1,4.7,65.9,15.7,214,12.0,2244
Split,13,Gold 2,Reyna,1.28,19.7,15.4,4.7,46.5,15.3,276,13.2,2193
Split,13,Gold 2,Jett,1.06,16.6,15.7,3.4,34.3,12.5,236,20.2,1785
Split,13,Gold 2,Raze,1.1,16.3,14.8,5.3,54.5,11.7,267,17.6,1683
Split,13,Gold 2,Omen,0.92,13.3,14.5,5.0,52.0,8.9,198,13.5,1275
Split,13,Gold 2,Killjoy,0.92,13.1,14.2,3.8,45.0,7.1,182,8.4,1020
Split,13,Gold 2,Cypher,0.98,14.8,15.1,3.9,53.3,5.3,195,9.5,765
Split,13,Gold 2,Sova,0.93,13.4,14.5,5.6,28.6,5.0,218,9.0,714
Split,13,Gold 2,Phoenix,1.4,19.1,13.6,3.5,63.6,3.9,275,15.2,561
Split,13,Gold 2,Skye,0.93,13.6,14.6,4.2,45.5,3.9,196,11.3,561
Split,13,Gold 2,Brimstone,0.86,13.2,15.3,8.2,66.7,3.2,187,10.1,459
Split,13,Gold 2,Viper,1.17,14.5,12.4,5.3,62.5,2.8,223,14.7,408
Split,13,Gold 2,Astra,1.1,16.9,15.3,6.0,57.1,2.5,208,11.0,357
Split,13,Gold 2,Breach,0.74,12.6,17.0,4.6,20.0,1.8,176,9.5,255
Split,13,Gold 2,Yoru,1.31,21.0,16.0,6.0,0.0,0.4,247,19.0,51
Split,15,Platinum 1,Sage,1.09,16.2,14.9,5.2,61.8,19.0,216,13.8,1734
Split,15,Platinum 1,Reyna,1.03,15.7,15.2,4.2,43.3,16.8,226,11.5,1530
Split,15,Platinum 1,Raze,0.99,14.5,14.6,4.4,37.0,15.1,240,15.6,1377
Split,15,Platinum 1,Jett,1.43,20.9,14.6,4.3,90.0,11.2,280,23.0,1020
Split,15,Platinum 1,Killjoy,0.93,13.2,14.2,4.6,50.0,10.1,192,7.1,918
Split,15,Platinum 1,Omen,1.01,13.6,13.5,4.9,54.5,6.1,200,10.7,561
Split,15,Platinum 1,Cypher,0.83,14.2,17.1,4.1,40.0,5.6,178,9.2,510
Split,15,Platinum 1,Sova,1.01,16.0,15.9,3.9,12.5,4.5,212,5.5,408
Split,15,Platinum 1,Phoenix,1.17,16.6,14.1,4.9,42.9,3.9,258,10.3,357
Split,15,Platinum 1,Brimstone,0.75,13.8,18.4,9.6,40.0,2.8,188,14.5,255
Split,15,Platinum 1,Astra,1.29,16.3,12.7,3.3,66.7,1.7,215,12.2,153
Split,15,Platinum 1,Skye,1.19,14.3,12.0,5.7,100.0,1.7,213,14.0,153
Split,15,Platinum 1,Breach,0.73,8.0,11.0,5.5,50.0,1.1,155,12.5,102
Split,15,Platinum 1,Viper,1.07,16.0,15.0,9.0,100.0,0.6,207,12.5,51
Split,16,Platinum 2,Sage,0.97,14.0,14.3,4.6,61.9,17.9,196,13.7,1071
Split,16,Platinum 2,Reyna,1.15,17.4,15.2,4.3,45.0,17.1,241,14.6,1020
Split,16,Platinum 2,Raze,1.16,19.9,17.2,5.8,66.7,15.4,257,17.6,918
Split,16,Platinum 2,Omen,0.94,13.7,14.6,5.6,42.9,12.0,197,9.9,714
Split,16,Platinum 2,Jett,1.17,16.8,14.3,4.6,50.0,8.5,265,19.6,510
Split,16,Platinum 2,Killjoy,1.09,14.0,12.9,3.7,40.0,8.5,201,9.3,510
Split,16,Platinum 2,Cypher,0.66,10.9,16.4,3.4,28.6,6.0,162,6.6,357
Split,16,Platinum 2,Breach,0.82,10.3,12.5,7.0,75.0,3.4,162,14.6,204
Split,16,Platinum 2,Phoenix,0.8,13.3,16.7,9.0,66.7,2.6,195,22.5,153
Split,16,Platinum 2,Viper,0.7,10.3,14.7,4.0,33.3,2.6,161,6.5,153
Split,16,Platinum 2,Brimstone,0.68,13.7,20.0,11.3,33.3,2.6,159,9.8,153
Split,16,Platinum 2,Skye,0.97,14.0,14.5,2.5,100.0,1.7,181,17.9,102
Split,16,Platinum 2,Astra,1.67,25.0,15.0,3.0,100.0,0.9,290,12.0,51
