job_title,industry,experience,city,state,salary
Technical Product Manager,Travel,21 - 30 years,Los Angeles,CA,71000.0
Facilities Manager,Retail,21 - 30 years,St. Louis,MO,71600.0
Digital Communications Manager,Communications,11 - 20 years,St. Louis,MO,131000.0
Creative Director,Pet care (corporate),8 - 10 years,Los Angeles,CA,65000.0
Director of Administration,Higher Education,31 - 40 years,New York,NY,100000.0
Operations Manager,Food Manufacturing,8 - 10 years,New York,NY,50000.0
Landscape Designer,Landscape,5 - 7 years,Chicago,IL,45000.0
Attorney,Legal,8 - 10 years,Phoenix,AZ,105000.0
Training & Program Development Assistant,Training & Development,1 year or less,Pittsburgh,PA,36400.0
R&D Manager,Chemical,5 - 7 years,Chicago,IL,119000.0
Business Intelligence Analyst,Software,5 - 7 years,Boston,MA,100000.0
Science writer,science writing,5 - 7 years,Seattle,WA,84000.0
Software Engineer,Technology,5 - 7 years,Boston,MA,72000.0
Member Advisor,Banking,8 - 10 years,Portland,OR,38000.0
Image Request Coordinator,Research library,8 - 10 years,New York,NY,44000.0
Associate Project Manager,Aerospace,11 - 20 years,Denver,CO,72000.0
Certification Manager,Association,8 - 10 years,Washington,DC,85000.0
National Campus Leader,Human Resources,2 - 4 years,New York,NY,75000.0
Senior Information Officer,Government Contractor,5 - 7 years,Washington,DC,80000.0
Research Manager,Public Health,5 - 7 years,Dallas,TX,65000.0
Office Manager,Nonprofit,2 - 4 years,Boston,MA,47500.0
Director,Public Affairs,5 - 7 years,Washington,DC,87500.0
Senior Internal Auditor,Internal Auditor - Insurance,11 - 20 years,Chicago,IL,93500.0
Digital Marketing Manager,Publishing,8 - 10 years,San Francisco,CA,58500.0
Researcher,Consulting,11 - 20 years,Minneapolis,MN,98000.0
Assistant Director of Education,Museum and Heritage,5 - 7 years,Boston,MA,55000.0
Technology Strategist,Healthcare IT,8 - 10 years,Los Angeles,CA,110000.0
Database Administrator,Development,2 - 4 years,Chicago,IL,47000.0
Senior Research Associate,criminal justice non-profit,11 - 20 years,Austin,TX,80000.0
Digital Media Coordinator,"Embassy, Digital Media",2 - 4 years,Washington,DC,42000.0
Director Front End Technologies,Web Development,11 - 20 years,Washington,DC,115000.0
Vendor Manager,Language Services,5 - 7 years,New York,NY,65000.0
Data Analyst,Financial Services,8 - 10 years,New York,NY,112000.0
Epidemiologist,Government,8 - 10 years,Washington,DC,110000.0
Recruiter,Consulting,5 - 7 years,Portland,OR,72500.0
User Operations,User Operations / Ed-Tech,5 - 7 years,San Francisco,CA,80000.0
Youth Services Librarian,Libraries,2 - 4 years,Dallas,TX,46300.0
Office Manager,Nonprofit,21 - 30 years,Seattle,WA,90000.0
